RIBS_ID,Station_Na,M_BASIN_ID,Nutrient_EcoR,LOCATION,RIVMILLE,BASIN_LOC_RIV,DESCRIPT,LATITUDE,LONGITUDE,PREVNAME,Distance from joined site (m),Joined to existing site (J) or created new (N),Notes,Notes 2
3031329,Sandy Creek,3,7,SAND,29.3,03-SAND-29.3,500 ft southwest off CR 69,43.891673,-75.810853, ,131.439046,J,Joined to existing bio site,Could trib on Curtis Rd bridge have been sampled
2010023,ALLEGHENY R. IN SALAMANCA,2,7,ALGY,20.3,02-ALGY-20.3,200 m below Main Street bridge,42.15716,-78.71794,ALGY-08A  (pre-2016),182.146156,J,Joined to existing bio site,
10041102,Ausable River,10,7,SABL,2.2,10-SABL-2.2,100 m above Rt. 9 bridge,44.55889,-73.44917, ,0,J,Joined to existing bio site,
14022101,Basher Kill,14,8,BSHR,0.4,14-BSHR-0.4,30 m below Galley Hill Rd. bridge,41.45361,-74.58945,BSHR-01 (pre-2017),56.186833,J,Joined to existing bio site,
14022104,Basher Kill,14,8,BSHR,3.7,14-BSHR-3.7,Port Orange Rd,41.4859,-74.57382,BSHR-00 (pre-2017),186.799099,J,Joined to existing bio site,
13092100,Basic Creek,13,,BASC,0.4,13-BASC-0.4,Co. Rt. 67 bridge,42.35972,-74.05083,,,J,Joined to existing bio site,From group of 32 unconnected sites
11031011,Batten Kill,11,7,BATT,10.2,11-BATT-10.2,200 m above Ray Rd. bridge,43.09833,-73.45695, ,95.072633,J,Joined to existing bio site,
3032209,Bear Creek,3,8,BARA,11.5,03-BARA-11.5,Brown Rd,43.73607,-75.97264,BARA-00 (pre-2016),23.460574,J,Joined to existing bio site,
17025100,Bear Gutter Creek,17,14,KEND,0.6,17-KEND-0.6,5 m below Rte 22,41.11444,-73.72361, ,44.278399,J,Joined to existing bio site,
17024101,Beaver Brook,17,14,BVBR,0.3,17-BVBR-0.3,Frost Mill Rd.; 5-10 m below old road bridge in preserve. Park at Preserve and follow red trail to blue trail,40.878102,-73.565952, ,100.681576,J,Joined to existing bio site,
14032110,Beaver Kill,14,8,BEAV,10,14-BEAV-10.0,300 m above Cooks Brook Rd. bridge,41.94639,-74.97972,BEAV 06 (pre-2014),0.225911,J,Joined to existing bio site,
8011201,Beaver River,8,,BEEV,0.8,08-BEEV-0.8,Van Amber Rd. bridge(CR 33),43.89806,-75.49389,,,J,Joined to existing bio site,From group of 32 unconnected sites
5033201,Bennetts Creek,5,7,BENN,0.5,05-BENN-0.5,40m above Rte 36 bridge,42.26543,-77.59466, ,43.059151,J,Joined to existing bio site,
12023100,Betty Brook,12,8,BETY,0.2,12-BETY-0.2,40 m below CR 43 bridge,42.489,-74.509,BETY-01 (pre-2017),0,J,Joined to existing bio site,
4021601,Bidwells Creek in Piffard,4,7,BIDW,1.5,04-BIDW-1.5,10 m upstream of SR 36/Main St,42.833967,-77.89615, ,0,J,Joined to existing bio site,
6011202,Big Brook,6,7,BVIL,2.2,06-BVIL-2.2,40 m below Rt. 206 bridge,42.2575,-75.44861, ,0.137237,J,Joined to existing bio site,
6031600,Big Choconut Creek,6,7,CHOC,0.5,06-CHOC-0.5,20 m above Front St. bridge,42.08278,-76.06389, ,0.169486,J,Joined to existing bio site,
5033401,Big Creek,5,,BGCK,0.6,05-BGCK-0.6,Seneca St.,42.353,-77.66016,,,J,Joined to existing bio site,From group of 32 unconnected sites
10053205,Big Creek,10,7,BIGC,6.3,10-BIGC-6.3,Townsend Rd bridge,43.3599,-73.4219, ,0,J,Joined to existing bio site,
1041208,Big Sister Creek,1,7,BSIS,8.6,01-BSIS-8.6,Versailles Road bridge,42.62475,-78.9674,BSIS-01A (pre-2017),141.291216,J,Joined to existing bio site,
4022200,Bigelow Creek,4,7,BLOW,0.4,04-BLOW-0.4,Cockram Rd. ; 5m above bridge,43.06632,-78.06949,BLOW-01 prior to 2012; BLOW-02 (pre-2017),8.718932,J,Joined to existing bio site,
4022204,Bigelow Creek ,4,7,BLOW,4.6,04-BLOW-4.6,Griswold Road Culvert,43.03504,-78.1109,BIGE-01 prior to 2012; BLOW-01 (pre-2017),43.724004,J,Joined to existing bio site,
10054100,Bishop Brook,10,7,BISH,0.6,10-BISH-0.6,"rte 149, 50 m below bridge, fields on each side",43.4039,-73.53821, ,65.053043,J,Joined to existing bio site,
4021134,Black Creek,4,7,BLAK,32,04-BLAK-32.0,50 m above Cockram Rd. bridge,43.06578,-78.06517,"BLAK-01 (pre-2012), BLAK 08 (pre-2014)",60.166888,J,Joined to existing bio site,
4021137,Black Creek,4,7,BLAK,34.9,04-BLAK-34.9,Griswold Rd. crossing,43.0341,-78.0754,BLAK 07 (pre-2014),50.228561,J,Joined to existing bio site,
13011301,Black Creek,13,7,BLKH,1.2,13-BLKH-1.2,100m above Rte 9W bridge,41.81805,-73.96445,BLKH-01 (pre-2017),76.283591,J,Joined to existing bio site,
8010090,Black River,8,7,BLCK,88.1,08-BLCK-88.1,30 m above Hawkinsville Rd. bridge,43.49389,-75.27583,BLCK-B (pre-2017),22.735945,J,Joined to existing bio site,
8010107,Black River,8,8,BLCK,105.4,08-BLCK-105.4,5 m below Enos Rd./Bellingertown Rd.,43.41083,-75.09666,BLCK-A (pre-2017),82.609622,J,Joined to existing bio site,
10042401,Black River,10,8,BLAR,1.1,10-BLAR-1.1,CR8,44.23422,-73.51052, ,47.989117,J,Joined to existing bio site,
2012400,Blakesly Hollow,2,8,BLHL,0.5,02-BLHL-0.5,At the Blakes Lee Hollow Road Bridge,42.112,-78.4353,BLHL-01 (pre-2016),44.670817,J,Joined to existing bio site,
17022503,Blind Brook,17,14,BLND,3.4,17-BLND-3.4,150 m above gaging station; at Theodore Fremd St.,40.983283,-73.68625,BLND-04 (pre-2017),85.625403,J,Joined to existing bio site,
10041203,Bouquet River,10,7,BOQT,2.8,10-BOQT-2.8,500 m above Rt. 22 bridge,44.361742,-73.391577,BOQT-07,207.81507,J,Joined to existing bio site,
1053400,Bournes Creek,1,7,BOUR,0.4,01-BOUR-0.4,Rte 5 bridge,42.35706,-79.5515,BOUR-01 (pre-2016),58.389429,J,Joined to existing bio site,
9011102,Brandy Brookin Waddington,9,7,BRND,2.5,09-BRND-2.5,"Franklin Rd, CR 44",44.84972,-75.16417,BRND 01 (pre-2014),0,J,Joined to existing bio site,
17023307,Bronx River,17,14,BRNX,5.6,17-BRNX-5.6,150 m above East Gun Hill Rd. bridge,40.88,-73.86861, ,190.930487,J,Joined to existing bio site,
17023312,Bronx River,17,14,BRNX,12.3,17-BRNX-12.3,bridge above Crestview Station,40.95944,-73.821995, ,16.880591,J,Joined to existing bio site,
1032311,Buffalo Creek,1,7,BUFC,2.2,01-BUFC-2.2,40 m below Rt. 277 bridge @USGS gaging station,42.85474,-78.75507,BUFF-03; BUFC-03 (pre-2016),28.534901,J,Joined to existing bio site,
1031002,BUFFALO R. IN BUFFALO,1,7,BUFF,1.7,01-BUFF-1.7,below Ohio St. bridge,42.86194,-78.86787, ,42.65329,J,Joined to existing bio site,
6012102,Butternut Creek,6,7,BTNT,1.3,06-BTNT-1.3,150 below Flat Iron Rd bridge,42.41945,-75.36139,BTNT -01,178.855639,J,Joined to existing bio site,
7034621,Butternut Creek,7,7,BNUT,20.6,07-BNUT-20.6,50 m above Apulia Rd bridge,42.91161,-76.07083, ,24.577324,J,Joined to existing bio site,
14011301,Callicoon Creek,14,8,CALL,0.2,14-CALL-0.2,10 m below Co. Rt. 133 bridge,41.76444,-75.05556,"CALL 02, CALL 06 (pre-2014)",22.730008,J,Joined to existing bio site,
5013100,Cameron Creek,5,7,STEO_T22,0.2,05-STEO_T22-0.2,At Canisteo River Road / County Rte 119 Bridge,42.199,-77.407,USTE-01 (pre-2017),64.842201,J,Joined to existing bio site,
5033302,Canacadea Creek,5,,CDEA,1.8,05-CDEA-1.8,100 m above Rt. 21 bridge @gaging station,42.33567,-77.68267,,,J,Joined to existing bio site,From group of 32 unconnected sites
1051200,Canadaway Creek,1,7,CWAY,0.2,01-CWAY-0.2,at Rt. 5 bridge,42.47538,-79.36557,CWAY-01; CWAY-02 (pre-2016),11.447487,J,Joined to existing bio site,
1051214,Canadaway Creek,1,7,CWAY,14.5,01-CWAY-14.5,CR 312,42.3672,-79.23686,CWAY-14.5  (pre-2016),20.547595,J,Joined to existing bio site,
7042103,Canandaigua Outlet,7,7,CANA,3.5,07-CANA-3.5,100 m above Alloway Rd. bridge,43.02228,-76.98958,CANA-12 (pre-2017),86.975315,J,Joined to existing bio site,
4041001,Canaseraga Creek,4,7,RAGA,1.4,04-RAGA-1.4,"at Rt. 408 bridge, USGS gage station spillway",42.73598,-77.84184,RAGA 01; RAGA 06 (pre-2014),115.368507,J,Joined to existing bio site,
4041009,Canaseraga Creek in Sonyea,4,7,RAGA,9.3,04-RAGA-9.3,at Pioneer Rd. bridge,42.68074,-77.78449,RAGA 05 (pre-2014),0,J,Joined to existing bio site,
7034701,Canastota Creek,7,7,TOTA,0.8,07-TOTA-0.8,100 m above N. Main St. Rd. bridge,43.08861,-75.755,TOTA-01 (pre-2016),36.661594,J,Joined to existing bio site,
5032110,Canisteo River,5,7,STEO,9.7,05-STEO-9.7,40 m below Newcomb Rd. bridge,42.11616,-77.29913, ,33.299288,J,Joined to existing bio site,
5032134,Canisteo River,5,7,STEO,33.9,05-STEO-33.9,@Depot St bridge,42.2762,-77.60152, ,15.623843,J,Joined to existing bio site,
13012301,Canopus Creek,13,8,CNOP,0.8,13-CNOP-0.8,Sprout Brook Rd,41.31445,-73.92222, ,39.244286,J,Joined to existing bio site,
17012902,Carlls River,17,14,CARL,0.8,17-CARL-0.8,20 m below Park Ave. culvert,40.70194,-73.32861, ,11.495818,J,Joined to existing bio site,
17012307,Carmans River,17,14,CARM,9,17-CARM-9.0,below foot bridge at USGS gaging station,40.83,-72.90694, ,193.487344,J,Joined to existing bio site,
12011901,Caroga Creek,12,7,CARO,0.3,12-CARO-0.3,200 m above Rt. 5 bridge,42.96806,-74.62861,CARO 01 (pre-2015),90.549791,J,Joined to existing bio site,
